Borough,18-24,25-34,35-49,50-64,65+,Total
Camden,27491,42702,44405,34336,24989,173923
City of London,1095,2239,1781,1632,1240,7987
Hackney,23716,63844,57848,38108,20718,204234
Hammersmith and Fulham,20055,42756,39854,29727,19101,151493
Haringey,21755,49410,63883,46801,27961,209810
Islington,23345,56167,46630,33645,20448,180235
Kensington and Chelsea,15216,25322,30219,29554,20797,121108
Lambeth,32328,82341,68945,52099,27507,263220
Lewisham,24467,57904,71886,52306,28846,235409
Newham,36755,72097,82884,49738,25468,266942
Southwark,31842,72961,67959,50421,25997,249180
Tower Hamlets,40104,86091,70752,33469,17606,248022
Wandsworth,28381,86862,74742,47349,31627,268961
Westminster,24296,44645,43995,36647,24991,174574
Barking and Dagenham,18777,32958,50451,33893,19123,155202
Barnet,29745,57291,88021,67896,56551,299504
Bexley,18842,31772,50812,47564,41028,190018
Brent,32541,58356,76028,59184,39877,265986
Bromley,20712,40215,73418,64643,58356,257344
Croydon,29676,58473,85612,73346,53416,300523
Ealing,31304,58846,86710,64484,44769,286113
Enfield,26749,43907,70960,60962,45300,247878
Greenwich,24494,52460,68352,47857,30454,223617
Harrow,20324,38564,57943,45597,40490,202918
Havering,19388,35910,52873,49120,46192,203483
Hillingdon,27083,43824,68501,52974,41314,233696
Hounslow,22653,45306,70765,48970,34252,221946
Kingston upon Thames,14581,23099,39043,30194,24507,131424
Merton,14933,36023,52677,37439,27280,168352
Redbridge,26236,46123,72133,50933,38146,233571
Richmond upon Thames,11935,21778,46559,39495,31644,151411
Sutton,13888,26789,48960,39044,31864,160545
Waltham Forest,21169,50205,69701,45843,28584,215502